Liberia,LBR,4779300900.0
Libya,LBY,48487151215.345
Saint Lucia,LCA,2549062962.96296
Latin America & Caribbean,LCN,7110323254687.35
Least developed countries: UN classification,LDC,1536272727812.71
Low income,LIC,469282282632.522
Liechtenstein,LIE,
Sri Lanka,LKA,98963185509.6499
Lower middle income,LMC,7941312381464.46
Low & middle income,LMY,39397098753614.4
Lesotho,LSO,2271759454.51107
Late-demographic dividend,LTE,29979152245112.6
Lithuania,LTU,84869215513.3648
Luxembourg,LUX,93279851863.4062
Latvia,LVA,43684254432.3609
Macao,MAC,49467258923.3244
Saint Martin,MAF,
Morocco,MAR,160610994054.734
Monaco,MCO,11125783372.4794
Moldova,MDA,18200340853.6517
Madagascar,MDG,17420501490.1231
Maldives,MDV,7061608267.25451
"Middle East, North Africa, Afghanistan & Pakistan",MEA,5094721946852.29
Mexico,MEX,1856365616165.94
Marshall Islands,MHL,290108489.990234
Middle income,MIC,38925709373017.6
Macedonia,MKD,16951682245.4202
Mali,MLI,26794747239.8805
Malta,MLT,24971574502.4475
Myanmar,MMR,74068349523.8095
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2203604227426.38
Montenegro,MNE,8270016670.86774
Mongolia,MNG,23794540024.5132
Northern Mariana Islands,MNP,
Mozambique,MOZ,22745341305.0622
Mauritania,MRT,10908045686.8808
Mauritius,MUS,14937861786.17
Malawi,MWI,11316411329.4619
Malaysia,MYS,422227005428.688
North America,NAC,31003826557365.0
Namibia,NAM,13372354511.716
New Caledonia,NCL,8548919387.12607
Niger,NER,19876128485.7857
Nigeria,NGA,252261880141.151
Nicaragua,NIC,19693982967.5926
Netherlands,NLD,1214927698572.66
Norway,NOR,483592648313.301
Nepal,NPL,42914268286.7109
Nauru,NRU,162588620.632234
New Zealand,NZL,260172385097.616
OECD members,OED,67500141717526.4
Oman,OMN,107137198769.386
Other small states,OSS,208127281931.64
Pakistan,PAK,371570000121.266
Panama,PAN,86523959131.7472
Peru,PER,289221969062.941
Philippines,PHL,461617509782.355
Palau,PLW,
Papua New Guinea,PNG,31800428265.5246
Poland,POL,917767106146.761
Pre-demographic dividend,PRE,1510802883684.15
Puerto Rico,PRI,126029527033.705
North Korea,PRK,
Portugal,PRT,313271185085.102
Paraguay,PRY,44458118397.4445
Palestine,PSE,13711100000.0
Pacific island small states,PSS,12124739862.5303
Post-demographic dividend,PST,62787810951925.4
French Polynesia,PYF,6323716355.05009
Qatar,QAT,219162637362.637
Romania,ROU,382564217988.866
Russia,RUS,2173835806671.66
Rwanda,RWA,14251642235.0968
South Asia,SAS,4512296631866.32
Saudi Arabia,SAU,1239804533333.33
Sudan,SDN,49672435513.1126
Senegal,SEN,32808056600.9436
Singapore,SGP,547386645891.847
Solomon Islands,SLB,1583964703.75061
Sierra Leone,SLE,6971127235.3123
El Salvador,SLV,35364960000.0
San Marino,SMR,
Somalia,SOM,11967000000.0
Republic of Serbia,SRB,90097765959.1114
Sub-Saharan Africa (excluding high income),SSA,1827170966475.93
South Sudan,SSD,
Sub-Saharan Africa,SSF,1979078503991.37
Small states,SST,310642066645.913
Sao Tome and Principe,STP,822154621.088897
Suriname,SUR,4416775112.09627
Slovakia,SVK,140934076532.375
Slovenia,SVN,72972015197.3859
Sweden,SWE,603715224265.798
Eswatini,SWZ,4858885840.77236
Sint Maarten,SXM,1797836665.95136
Seychelles,SYC,2167239562.46013
Syria,SYR,
Turks and Caicos Islands,TCA,1745378000.0
Chad,TCD,19518819751.283
East Asia & Pacific (IDA & IBRD countries),TEA,22233362919728.4
Europe & Central Asia (IDA & IBRD countries),TEC,6131674441421.64
Togo,TGO,10651180146.531
Thailand,THA,526517658841.684
Tajikistan,TJK,14204575548.5536
Turkmenistan,TKM,51387209872.2994
Latin America & the Caribbean (IDA & IBRD countries),TLA,6776899040059.78
Timor-Leste,TLS,1865608515.41321
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2189893127426.38
Tonga,TON,
South Asia (IDA & IBRD),TSA,4512296631866.31
Sub-Saharan Africa (IDA & IBRD countries),TSS,1979078503991.37
Trinidad and Tobago,TTO,25633544529.4849
Tunisia,TUN,51332285656.5422
Turkey,TUR,1359123768774.12
Tuvalu,TUV,
United Republic of Tanzania,TZA,78844405385.2195
Uganda,UGA,53911907086.1525
Ukraine,UKR,190741262414.705
Upper middle income,UMC,30986054597959.2
Uruguay,URY,80961511073.5797
United States of America,USA,28750956130731.2
Uzbekistan,UZB,114965293466.611
Saint Vincent and the Grenadines,VCT,1157207407.40741
Venezuela,VEN,119802963257.783
Virgin Islands,VGB,
Virgin Islands,VIR,
Viet Nam,VNM,476388230307.175
Vanuatu,VUT,1117972034.22642
World,WLD,110982661180013.0
Samoa,WSM,1175749785.65113
Kosovo,XKX,11197246322.588
Yemen,YEM,
South Africa,ZAF,401144998373.585
Zambia,ZMB,25303185342.2511
Zimbabwe,ZWE,41539411516.4448
